Verse
 संजय उवाच। <br>त्वरमाणः पुनः कृष्णः पार्थमभ्यवदच्छनैः। <br>पश्य कौरव्य राजानमपयातांश्च पाण्डवान्   ॥08-041-001॥
कर्णं पश्य महारङ्गे ज्वलन्तमिव पावकम्। <br>असौ भीमो महेष्वासः संनिवृत्तो रणं प्रति   ॥08-041-002॥
तमेतेऽनु निवर्तन्ते धृष्टद्युम्नपुरोगमाः। <br>पाञ्चालानां सृञ्जयानां पाण्डवानां च यन्मुखम्। <br>निवृत्तैश्च तथा पार्थैर्भग्नं शत्रुबलं महत्   ॥08-041-003॥
कौरवान्द्रवतो ह्येष कर्णो धारयतेऽर्जुन। <br>अन्तकप्रतिमो वेगे शक्रतुल्यपराक्रमः   ॥08-041-004॥
असौ गच्छति कौरव्य द्रौणिरस्त्रभृतां वरः। <br>तमेष प्रद्रुतः संख्ये धृष्टद्युम्नो महारथः   ॥08-041-005॥
सर्वं व्याचष्ट दुर्धर्षो वासुदेवः किरीटिने। <br>ततो राजन्प्रादुरासीन्महाघोरो महारणः   ॥08-041-006॥
सिंहनादरवाश्चात्र प्रादुरासन्समागमे। <br>उभयोः सेनयो राजन्मृत्युं कृत्वा निवर्तनम्   ॥08-041-007॥
