Verse
 नारद उवाच। <br>तथैव सा श्रियं त्यक्त्वा कन्या भूत्वा यशस्विनी। <br>माधवी गालवं विप्रमन्वयात्सत्यसंगरा   ॥05-116-001॥
गालवो विमृशन्नेव स्वकार्यगतमानसः। <br>जगाम भोजनगरं द्रष्टुमौशीनरं नृपम्   ॥05-116-002॥
तमुवाचाथ गत्वा स नृपतिं सत्यविक्रमम्। <br>इयं कन्या सुतौ द्वौ ते जनयिष्यति पार्थिवौ   ॥05-116-003॥
अस्यां भवानवाप्तार्थो भविता प्रेत्य चेह च। <br>सोमार्कप्रतिसंकाशौ जनयित्वा सुतौ नृप   ॥05-116-004॥
शुल्कं तु सर्वधर्मज्ञ हयानां चन्द्रवर्चसाम्। <br>एकतःश्यामकर्णानां देयं मह्यं चतुःशतम्   ॥05-116-005॥
गुर्वर्थोऽयं समारम्भो न हयैः कृत्यमस्ति मे। <br>यदि शक्यं महाराज क्रियतां मा विचार्यताम्   ॥05-116-006॥
अनपत्योऽसि राजर्षे पुत्रौ जनय पार्थिव। <br>पितॄन्पुत्रप्लवेन त्वमात्मानं चैव तारय   ॥05-116-007॥
न पुत्रफलभोक्ता हि राजर्षे पात्यते दिवः। <br>न याति नरकं घोरं यत्र गच्छन्त्यनात्मजाः   ॥05-116-008॥
एतच्चान्यच्च विविधं श्रुत्वा गालवभाषितम्। <br>उशीनरः प्रतिवचो ददौ तस्य नराधिपः   ॥05-116-009॥
श्रुतवानस्मि ते वाक्यं यथा वदसि गालव। <br>विधिस्तु बलवान्ब्रह्मन्प्रवणं हि मनो मम   ॥05-116-010॥
शते द्वे तु ममाश्वानामीदृशानां द्विजोत्तम। <br>इतरेषां सहस्राणि सुबहूनि चरन्ति मे   ॥05-116-011॥
अहमप्येकमेवास्यां जनयिष्यामि गालव। <br>पुत्रं द्विज गतं मार्गं गमिष्यामि परैरहम्   ॥05-116-012॥
मूल्येनापि समं कुर्यां तवाहं द्विजसत्तम। <br>पौरजानपदार्थं तु ममार्थो नात्मभोगतः   ॥05-116-013॥
कामतो हि धनं राजा पारक्यं यः प्रयच्छति। <br>न स धर्मेण धर्मात्मन्युज्यते यशसा न च   ॥05-116-014॥
सोऽहं प्रतिग्रहीष्यामि ददात्वेतां भवान्मम। <br>कुमारीं देवगर्भाभामेकपुत्रभवाय मे   ॥05-116-015॥
तथा तु बहुकल्याणमुक्तवन्तं नराधिपम्। <br>उशीनरं द्विजश्रेष्ठो गालवः प्रत्यपूजयत्   ॥05-116-016॥
उशीनरं प्रतिग्राह्य गालवः प्रययौ वनम्। <br>रेमे स तां समासाद्य कृतपुण्य इव श्रियम्   ॥05-116-017॥
कन्दरेषु च शैलानां नदीनां निर्झरेषु च। <br>उद्यानेषु विचित्रेषु वनेषूपवनेषु च   ॥05-116-018॥
हर्म्येषु रमणीयेषु प्रासादशिखरेषु च। <br>वातायनविमानेषु तथा गर्भगृहेषु च   ॥05-116-019॥
ततोऽस्य समये जज्ञे पुत्रो बालरविप्रभः। <br>शिबिर्नाम्नाभिविख्यातो यः स पार्थिवसत्तमः   ॥05-116-020॥
उपस्थाय स तं विप्रो गालवः प्रतिगृह्य च। <br>कन्यां प्रयातस्तां राजन्दृष्टवान्विनतात्मजम्   ॥05-116-021॥
