Verse
 धृतराष्ट्र उवाच। <br>उपप्लव्यादिह क्षत्तरुपयातो जनार्दनः। <br>वृकस्थले निवसति स च प्रातरिहेष्यति   ॥05-084-001॥
आहुकानामधिपतिः पुरोगः सर्वसात्वताम्। <br>महामना महावीर्यो महामात्रो जनार्दनः   ॥05-084-002॥
स्फीतस्य वृष्णिवंशस्य भर्ता गोप्ता च माधवः। <br>त्रयाणामपि लोकानां भगवान्प्रपितामहः   ॥05-084-003॥
वृष्ण्यन्धकाः सुमनसो यस्य प्रज्ञामुपासते। <br>आदित्या वसवो रुद्रा यथा बुद्धिं बृहस्पतेः   ॥05-084-004॥
तस्मै पूजां प्रयोक्ष्यामि दाशार्हाय महात्मने। <br>प्रत्यक्षं तव धर्मज्ञ तन्मे कथयतः शृणु   ॥05-084-005॥
एकवर्णैः सुकृष्णाङ्गैर्बाह्लिजातैर्हयोत्तमैः। <br>चतुर्युक्तान्रथांस्तस्मै रौक्मान्दास्यामि षोडश   ॥05-084-006॥
नित्यप्रभिन्नान्मातङ्गानीषादन्तान्प्रहारिणः। <br>अष्टानुचरमेकैकमष्टौ दास्यामि केशवे   ॥05-084-007॥
दासीनामप्रजातानां शुभानां रुक्मवर्चसाम्। <br>शतमस्मै प्रदास्यामि दासानामपि तावतः   ॥05-084-008॥
आविकं बहु सुस्पर्शं पार्वतीयैरुपाहृतम्। <br>तदप्यस्मै प्रदास्यामि सहस्राणि दशाष्ट च   ॥05-084-009॥
अजिनानां सहस्राणि चीनदेशोद्भवानि च। <br>तान्यप्यस्मै प्रदास्यामि यावदर्हति केशवः   ॥05-084-010॥
दिवा रात्रौ च भात्येष सुतेजा विमलो मणिः। <br>तमप्यस्मै प्रदास्यामि तमप्यर्हति केशवः   ॥05-084-011॥
एकेनापि पतत्यह्ना योजनानि चतुर्दश। <br>यानमश्वतरीयुक्तं दास्ये तस्मै तदप्यहम्   ॥05-084-012॥
यावन्ति वाहनान्यस्य यावन्तः पुरुषाश्च ते। <br>ततोऽष्टगुणमप्यस्मै भोज्यं दास्याम्यहं सदा   ॥05-084-013॥
मम पुत्राश्च पौत्राश्च सर्वे दुर्योधनादृते। <br>प्रत्युद्यास्यन्ति दाशार्हं रथैर्मृष्टैरलंकृताः   ॥05-084-014॥
स्वलंकृताश्च कल्याण्यः पादैरेव सहस्रशः। <br>वारमुख्या महाभागं प्रत्युद्यास्यन्ति केशवम्   ॥05-084-015॥
नगरादपि याः काश्चिद्गमिष्यन्ति जनार्दनम्। <br>द्रष्टुं कन्याश्च कल्याण्यस्ताश्च यास्यन्त्यनावृताः   ॥05-084-016॥
सस्त्रीपुरुषबालं हि नगरं मधुसूदनम्। <br>उदीक्षते महात्मानं भानुमन्तमिव प्रजाः   ॥05-084-017॥
महाध्वजपताकाश्च क्रियन्तां सर्वतोदिशम्। <br>जलावसिक्तो विरजाः पन्थास्तस्येति चान्वशात्   ॥05-084-018॥
दुःशासनस्य च गृहं दुर्योधनगृहाद्वरम्। <br>तदस्य क्रियतां क्षिप्रं सुसंमृष्टमलंकृतम्   ॥05-084-019॥
एतद्धि रुचिराकारैः प्रासादैरुपशोभितम्। <br>शिवं च रमणीयं च सर्वर्तु सुमहाधनम्   ॥05-084-020॥
सर्वमस्मिन्गृहे रत्नं मम दुर्योधनस्य च। <br>यद्यदर्हेत्स वार्ष्णेयस्तत्तद्देयमसंशयम्   ॥05-084-021॥
