Verse
 बृहदश्व उवाच। <br>अथ तां व्युषितो रात्रिं नलो राजा स्वलंकृतः। <br>वैदर्भ्या सहितः काल्यं ददर्श वसुधाधिपम्   ॥03-076-001॥
ततोऽभिवादयामास प्रयतः श्वशुरं नलः। <br>तस्यानु दमयन्ती च ववन्दे पितरं शुभा   ॥03-076-002॥
तं भीमः प्रतिजग्राह पुत्रवत्परया मुदा। <br>यथार्हं पूजयित्वा तु समाश्वासयत प्रभुः। <br>नलेन सहितां तत्र दमयन्तीं पतिव्रताम्   ॥03-076-003॥
तामर्हणां नलो राजा प्रतिगृह्य यथाविधि। <br>परिचर्यां स्वकां तस्मै यथावत्प्रत्यवेदयत्   ॥03-076-004॥
ततो बभूव नगरे सुमहान्हर्षनिस्वनः। <br>जनस्य संप्रहृष्टस्य नलं दृष्ट्वा तथागतम्   ॥03-076-005॥
अशोभयच्च नगरं पताकाध्वजमालिनम्। <br>सिक्तसंमृष्टपुष्पाढ्या राजमार्गाः कृतास्तदा   ॥03-076-006॥
द्वारि द्वारि च पौराणां पुष्पभङ्गः प्रकल्पितः। <br>अर्चितानि च सर्वाणि देवतायतनानि च   ॥03-076-007॥
ऋतुपर्णोऽपि शुश्राव बाहुकच्छद्मिनं नलम्। <br>दमयन्त्या समायुक्तं जहृषे च नराधिपः   ॥03-076-008॥
तमानाय्य नलो राजा क्षमयामास पार्थिवम्। <br>स च तं क्षमयामास हेतुभिर्बुद्धिसंमतः   ॥03-076-009॥
स सत्कृतो महीपालो नैषधं विस्मयान्वितः। <br>दिष्ट्या समेतो दारैः स्वैर्भवानित्यभ्यनन्दत   ॥03-076-010॥
कच्चित्तु नापराधं ते कृतवानस्मि नैषध। <br>अज्ञातवासं वसतो मद्गृहे निषधाधिप   ॥03-076-011॥
यदि वा बुद्धिपूर्वाणि यद्यबुद्धानि कानिचित्। <br>मया कृतान्यकार्याणि तानि मे क्षन्तुमर्हसि   ॥03-076-012॥
 नल उवाच। <br>न मेऽपराधं कृतवांस्त्वं स्वल्पमपि पार्थिव। <br>कृतेऽपि च न मे कोपः क्षन्तव्यं हि मया तव   ॥03-076-013॥
पूर्वं ह्यसि सखा मेऽसि संबन्धी च नराधिप। <br>अत ऊर्ध्वं तु भूयस्त्वं प्रीतिमाहर्तुमर्हसि   ॥03-076-014॥
सर्वकामैः सुविहितः सुखमस्म्युषितस्त्वयि। <br>न तथा स्वगृहे राजन्यथा तव गृहे सदा   ॥03-076-015॥
इदं चैव हयज्ञानं त्वदीयं मयि तिष्ठति। <br>तदुपाकर्तुमिच्छामि मन्यसे यदि पार्थिव   ॥03-076-016॥
 बृहदश्व उवाच। <br>एवमुक्त्वा ददौ विद्यामृतुपर्णाय नैषधः। <br>स च तां प्रतिजग्राह विधिदृष्टेन कर्मणा   ॥03-076-017॥
ततो गृह्याश्वहृदयं तदा भाङ्गस्वरिर्नृपः। <br>सूतमन्यमुपादाय ययौ स्वपुरमेव हि   ॥03-076-018॥
ऋतुपर्णे प्रतिगते नलो राजा विशां पते। <br>नगरे कुण्डिने कालं नातिदीर्घमिवावसत्   ॥03-076-019॥
